"VISA", "Visa"
"MASTERCARD", "Mastercard"
"AMEX", "Amex"
"DINERS", "Diners"
"JCB", "JCB"
"MAESTRO_INTERNATIONAL", "Maestro International"
"MAESTRO_UK", "Maestro UK"
"DISCOVER", "Discover"
"CARTE_BLEUE", "Carte Bleue"

"PPE", "Paypal Express"

"PNT", "SOFORT Überweisung"
"GPY", "Giropay"
"EPS", "EPS Österreich"
"PFF", "PostFinance E-Finance Schweiz"
"PFC", "PostFinance Card Schweiz"
"IDL", "IDEAL"
"P24", "Przelewy24"

"CFR","Commerz Finanz"
"BSV","BillSAFE"
"KLV","Klarna"
"KLS","Klarna"

"FCPO_CC_ROW_CC_Number","Creditcardnumber"
"FCPO_CC_ROW_CC_CVC","CVC security code"
"FCPO_CC_ROW_CC_Month","Validity-month"
"FCPO_CC_ROW_CC_Year","Validity-year"

"NONE","No verification of personal data carried out (NONE)"
"PPB","First- & lastname is known (PPB)"
"PHB","Lastname is known (PHB)"
"PAB","First name & surname unknown (PAB)"
"PKI","Ambiguity in name and address (PKI)"
"PNZ","Cannot be delivered (any longer) (PNZ)"
"PPV","Person deceased (PPV)"
"PPF","Postal address details incorrect (PPF)"
"PUG","Postal address details correct but building unknown (PUG)"
"PUZ","Person has moved, address not corrected (PUZ)"
"UKN","Unknown return values are mapped to UKN (UKN)"

"ratepay_legal_text_snippet_1","With clicking on"
"ratepay_legal_text_snippet_2","you agree to the"
"ratepay_legal_text_snippet_3","Ratepay Terms of Payment"
"ratepay_legal_text_snippet_4","as well as to the performance of a"
"ratepay_legal_text_snippet_5","risk check by Ratepay"
"ratepay_legal_text_snippet_6","."

"PAYONE Cash on Delivery", "PAYONE Cash on Delivery"
"PAYONE Credit Card", "PAYONE Credit Card"
"PAYONE Direct Debit", "PAYONE Direct Debit"
"PAYONE PayPal", "PAYONE PayPal"
"PAYONE Prepayment", "PAYONE Prepayment"
"PAYONE Invoice", "PAYONE Invoice"
"PAYONE Sofort", "PAYONE Sofort"
"PAYONE Giropay", "PAYONE Giropay"
"PAYONE - eps", "PAYONE - eps"
"PAYONE PostFinance E-Finance", "PAYONE PostFinance E-Finance"
"PAYONE PostFinance Card", "PAYONE PostFinance Card"
"PAYONE iDEAL", "PAYONE iDEAL"
"PAYONE Przelewy24", "PAYONE Przelewy24"
"PAYONE Barzahlen", "PAYONE Barzahlen"
"PAYONE Secure Invoice", "PAYONE Secure Invoice"
"PAYONE Unzer Rechnungskauf", "PAYONE Unzer Invoice"
"PAYONE Unzer Ratenkauf", "PAYONE Unzer Installment"
"PAYONE Alipay", "PAYONE Alipay"
"PAYONE Amazon Pay", "PAYONE Amazon Pay"
"PAYONE Klarna Payments", "PAYONE Klarna Payments"
"PAYONE Klarna Rechnung", "PAYONE Klarna Invoice"
"PAYONE Klarna Sofort bezahlen", "PAYONE Klarna instant pay"
"PAYONE Klarna Ratenkauf", "PAYONE Klarna Installment"
"PAYONE Ratepay Open Invoice", "PAYONE Ratepay Open Invoice"
"PAYONE Ratepay Lastschrift", "PAYONE Ratepay Derict Debit"
"PAYONE Ratepay Ratenkauf", "PAYONE Ratepay Installment"
"PAYONE WeChat Pay", "PAYONE WeChat Pay"
"PAYONE Trustly", "PAYONE Trustly"
"PAYONE Apple Pay", "PAYONE Apple Pay"
"PAYONE Bancontact", "PAYONE Bancontact"
